Date,Additions
"Friday, 27. March 2020 07:50PM GMT",72
"Friday, 27. March 2020 08:00PM GMT  ",72
"Friday, 27. March 2020 08:10PM GMT ",86
"Friday, 27. March 2020 08:20PM GMT",60
"Friday, 27. March 2020 08:30PM GMT",67
"Friday, 27. March 2020 08:40PM GMT ",76
"Friday, 27. March 2020 08:50PM GMT ",81
"Friday, 27. March 2020 09:00PM GMT",105
"Friday, 27. March 2020 09:10PM GMT",61
"Friday, 27. March 2020 09:20PM GMT",98
"Friday, 27. March 2020 09:30PM GMT",85
"Friday, 27. March 2020 09:40PM GMT",100
"Friday, 27. March 2020 09:50PM GMT",81
"Friday, 27. March 2020 10:00PM GMT",48
"Friday, 27. March 2020 10:10PM GMT",41
"Friday, 27. March 2020 10:20PM GMT",37
"Friday, 27. March 2020 10:30PM GMT",173
"Friday, 27. March 2020 10:40PM GMT",66
"Friday, 27. March 2020 10:50PM GMT",132
"Friday, 27. March 2020 11:00PM GMT",88
"Friday, 27. March 2020 11:10PM GMT",75
"Friday, 27. March 2020 11:20PM GMT",72
"Friday, 27. March 2020 11:30PM GMT",54
"Friday, 27. March 2020 11:40PM GMT",71
"Friday, 27. March 2020 11:50PM GMT",66
"Saturday, 28. March 2020 12:00AM GMT",25
"Saturday, 28. March 2020 12:10AM GMT",70
"Saturday, 28. March 2020 12:20AM GMT",37
"Saturday, 28. March 2020 12:30AM GMT",57
"Saturday, 28. March 2020 12:40AM GMT",81
"Saturday, 28. March 2020 12:50AM GMT",70
"Saturday, 28. March 2020 01:00AM GMT",18
"Saturday, 28. March 2020 01:10AM GMT",64
"Saturday, 28. March 2020 01:20AM GMT",80
"Saturday, 28. March 2020 01:30AM GMT",94
"Saturday, 28. March 2020 01:40AM GMT",83
"Saturday, 28. March 2020 01:50AM GMT",136
"Saturday, 28. March 2020 02:00AM GMT",46
"Saturday, 28. March 2020 02:10AM GMT",56
"Saturday, 28. March 2020 02:20AM GMT",40
"Saturday, 28. March 2020 02:30AM GMT",35
"Saturday, 28. March 2020 02:40AM GMT",66
"Saturday, 28. March 2020 02:50AM GMT",74
"Saturday, 28. March 2020 03:00AM GMT",37
"Saturday, 28. March 2020 03:10AM GMT",104
"Saturday, 28. March 2020 03:20AM GMT",45
"Saturday, 28. March 2020 03:30AM GMT",39
"Saturday, 28. March 2020 03:40AM GMT",81
"Saturday, 28. March 2020 03:50AM GMT",42
"Saturday, 28. March 2020 04:00AM GMT",49
"Saturday, 28. March 2020 04:10AM GMT",42
"Saturday, 28. March 2020 04:20AM GMT",48
"Saturday, 28. March 2020 04:30AM GMT",127
"Saturday, 28. March 2020 04:40AM GMT",52
"Saturday, 28. March 2020 04:50AM GMT",97
"Saturday, 28. March 2020 05:00AM GMT",26
"Saturday, 28. March 2020 05:10AM GMT",61
"Saturday, 28. March 2020 05:20AM GMT",30
"Saturday, 28. March 2020 05:30AM GMT",53
"Saturday, 28. March 2020 05:40AM GMT",56
"Saturday, 28. March 2020 05:50AM GMT",33
"Saturday, 28. March 2020 06:00AM GMT",16
"Saturday, 28. March 2020 06:10AM GMT",40
"Saturday, 28. March 2020 06:20AM GMT",42
"Saturday, 28. March 2020 06:30AM GMT",54
"Saturday, 28. March 2020 06:40AM GMT",92
"Saturday, 28. March 2020 06:50AM GMT",69
"Saturday, 28. March 2020 07:00AM GMT",62
"Saturday, 28. March 2020 07:10AM GMT",65
"Saturday, 28. March 2020 07:20AM GMT",70
"Saturday, 28. March 2020 07:30AM GMT",32
"Saturday, 28. March 2020 07:40AM GMT",72
"Saturday, 28. March 2020 07:50AM GMT",105
"Saturday, 28. March 2020 08:00AM GMT",102
"Saturday, 28. March 2020 08:10AM GMT",46
"Saturday, 28. March 2020 08:20AM GMT",46
"Saturday, 28. March 2020 08:30AM GMT",67
"Saturday, 28. March 2020 08:40AM GMT",56
"Saturday, 28. March 2020 08:50AM GMT",51
"Saturday, 28. March 2020 09:00AM GMT",71
"Saturday, 28. March 2020 09:10AM GMT",99
"Saturday, 28. March 2020 09:20AM GMT",70
"Saturday, 28. March 2020 09:30AM GMT",72
"Saturday, 28. March 2020 09:40AM GMT",159
"Saturday, 28. March 2020 09:50AM GMT",108
"Saturday, 28. March 2020 10:00AM GMT",61
"Saturday, 28. March 2020 10:10AM GMT",49
"Saturday, 28. March 2020 10:20AM GMT",73
"Saturday, 28. March 2020 10:30AM GMT",57
"Saturday, 28. March 2020 10:40AM GMT",85
"Saturday, 28. March 2020 10:50AM GMT",73
"Saturday, 28. March 2020 11:00AM GMT",55
"Saturday, 28. March 2020 11:10AM GMT",79
"Saturday, 28. March 2020 11:20AM GMT",74
"Saturday, 28. March 2020 11:30AM GMT",78
"Saturday, 28. March 2020 11:40AM GMT",87
"Saturday, 28. March 2020 11:50AM GMT",58
"Saturday, 28. March 2020 12:00PM GMT",62
"Saturday, 28. March 2020 12:10PM GMT",121
"Saturday, 28. March 2020 12:20PM GMT",57
"Saturday, 28. March 2020 12:30PM GMT",31
"Saturday, 28. March 2020 12:40PM GMT",46
"Saturday, 28. March 2020 12:50PM GMT",101
"Saturday, 28. March 2020 01:00PM GMT",19
"Saturday, 28. March 2020 01:10PM GMT",40
"Saturday, 28. March 2020 01:20PM GMT",24
"Saturday, 28. March 2020 01:30PM GMT",72
"Saturday, 28. March 2020 01:40PM GMT",66
"Saturday, 28. March 2020 01:50PM GMT",49
"Saturday, 28. March 2020 02:00PM GMT",64
"Saturday, 28. March 2020 02:10PM GMT",80
"Saturday, 28. March 2020 02:20PM GMT",158
"Saturday, 28. March 2020 02:30PM GMT",140
"Saturday, 28. March 2020 02:40PM GMT",217
"Saturday, 28. March 2020 02:50PM GMT",27
